Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
17 0 -7.4294972 0.0 -36.0415 7.44684 -12.1638 225.358 -1887.31 223.836 -1886.1 0.0 223.836 -1886.1 28.2765 -36.0415 -1670.029 15.1507 15.1507
17 1 -7.438493 0.0 -36.7679 7.43601 -12.1945 225.358 -1887.31 223.835 -1885.17 0.0 223.835 -1885.17 28.4642 -36.7679 -1669.6388 15.0494 15.0494
17 2 -7.6259565 0.0 -40.572 7.74397 -11.263 225.358 -1887.31 223.411 -1880.29 0.0 223.411 -1880.29 28.6453 -40.572 -1668.8058 12.6719 12.6719
17 3 -7.5547094 0.0 -39.2694 7.74436 -11.3028 225.358 -1887.31 223.179 -1880.82 0.0 223.179 -1880.82 28.5702 -39.2694 -1668.3402 13.0193 13.0193
17 4 -7.5196733 0.0 -38.7326 7.75778 -11.2982 225.358 -1887.31 223.126 -1880.97 0.0 223.126 -1880.97 28.7386 -38.7326 -1667.838 13.4501 13.4501
17 5 -7.3171763 0.0 -38.1861 7.34383 -12.2569 225.358 -1887.31 224.197 -1881.76 0.0 224.197 -1881.76 28.0324 -38.1861 -1667.7167 13.5763 13.5763
18 0 -7.5169806 0.0 -39.7768 7.25939 -11.3779 225.358 -1887.31 223.707 -1881.06 0.0 223.707 -1881.06 27.1484 -39.7768 -1669.9814 15.5326 15.5326
18 1 -7.5658875 0.0 -40.1268 7.31463 -11.355 225.358 -1887.31 223.72 -1881.23 0.0 223.72 -1881.23 28.0929 -40.1268 -1669.544 15.9174 15.9174
18 2 -7.5658875 0.0 -40.1268 7.31463 -11.355 225.358 -1887.31 223.72 -1881.23 0.0 223.72 -1881.23 28.0929 -40.1268 -1669.544 15.9174 15.9174
18 3 -7.57284 0.0 -40.1501 7.32548 -11.3443 225.358 -1887.31 223.707 -1881.26 0.0 223.707 -1881.26 28.2516 -40.1501 -1669.4515 15.9678 15.9678
18 4 -7.57284 0.0 -40.1501 7.32548 -11.3443 225.358 -1887.31 223.707 -1881.26 0.0 223.707 -1881.26 28.2516 -40.1501 -1669.4515 15.9678 15.9678
18 5 -7.3402386 0.0 -39.0093 7.38674 -11.9884 225.358 -1887.31 223.518 -1879.48 0.0 223.518 -1879.48 28.0614 -39.0093 -1666.9099 16.0264 16.0264
18 6 -7.2540884 0.0 -37.3434 7.35057 -11.8594 225.358 -1887.31 223.457 -1880.48 0.0 223.457 -1880.48 27.7021 -37.3434 -1666.6643 15.8332 15.8332
18 7 -7.344516 0.0 -39.0108 7.39612 -11.9691 225.358 -1887.31 223.425 -1879.37 0.0 223.425 -1879.37 28.2936 -39.0108 -1666.6621 16.0401 16.0401
19 0 -7.4056993 0.0 -35.2582 7.58984 -12.3497 225.358 -1887.31 223.327 -1886.1 0.0 223.327 -1886.1 28.0729 -35.2582 -1669.9583 13.7154 13.7154
19 1 -7.195461 0.0 -32.1789 7.25294 -12.4554 225.358 -1887.31 223.404 -1888.17 0.0 223.404 -1888.17 29.592 -32.1789 -1667.3529 16.7007 16.7007
19 2 -7.2137437 0.0 -33.0292 7.39751 -12.29 225.358 -1887.31 223.064 -1886.24 0.0 223.064 -1886.24 28.9239 -33.0292 -1667.2814 15.566 15.566
19 3 -7.181451 0.0 -32.1334 7.38098 -12.329 225.358 -1887.31 223.063 -1887.16 0.0 223.063 -1887.16 29.0989 -32.1334 -1667.1316 15.7307 15.7307
19 4 -7.207402 0.0 -32.8796 7.41241 -12.3045 225.358 -1887.31 222.974 -1886.22 0.0 222.974 -1886.22 29.4304 -32.8796 -1666.6952 15.7635 15.7635
19 5 -7.2695384 0.0 -37.5954 7.33652 -11.3499 225.358 -1887.31 222.645 -1878.6 0.0 222.645 -1878.6 26.8678 -37.5954 -1666.6826 11.3503 11.3503
19 6 -7.257414 0.0 -37.8959 7.33352 -11.3451 225.358 -1887.31 222.608 -1877.88 0.0 222.608 -1877.88 26.731 -37.8959 -1666.4369 10.9823 10.9823
19 7 -6.888902 0.0 -26.0645 7.69201 -12.4737 225.358 -1887.31 223.474 -1892.06 0.0 223.474 -1892.06 36.8118 -26.0645 -1657.8387 25.5944 25.5944
20 0 -7.788325 0.0 -41.2239 7.4399 -11.6274 225.358 -1887.31 223.754 -1883.3 0.0 223.754 -1883.3 31.0275 -41.2239 -1669.7424 15.516 15.516
21 0 -7.6280694 0.0 -42.9695 7.37651 -11.7072 225.358 -1887.31 223.831 -1878.28 0.0 223.831 -1878.28 27.7743 -42.9695 -1669.6443 11.5729 11.5729
21 1 -7.713284 0.0 -44.3219 7.41881 -11.6911 225.358 -1887.31 223.766 -1877.4 0.0 223.766 -1877.4 28.6198 -44.3219 -1669.3362 11.886 11.886
