From src:'1'	To src:'3'
CHEMBL55941	MB8
CHEMBL1206239	DA
CHEMBL1206239	D5M
CHEMBL1230380	59R
CHEMBL239243	TAU
CHEMBL2079493	R32
CHEMBL68828	ZYA
CHEMBL1160756	822
CHEMBL3622209	55Y
CHEMBL1357627	BOL
CHEMBL3425734	43G
CHEMBL1232305	DOC
CHEMBL1928781	6RH
CHEMBL3683778	8FP
CHEMBL481280	BGW
CHEMBL3960452	0ZD
CHEMBL2152704	C07
CHEMBL395347	LDT
CHEMBL209744	0OM
CHEMBL460026	EPA
CHEMBL11608	AEF
CHEMBL3278446	9PO
CHEMBL156	6UV
CHEMBL574823	UDR
CHEMBL131890	AGS
CHEMBL3342588	8DU
CHEMBL1236707	WI2
CHEMBL1945723	09J
CHEMBL3114000	MG0
CHEMBL537	HQE
CHEMBL388901	MU1
CHEMBL2017214	XNB
CHEMBL1234894	O30
CHEMBL475797	JI1
CHEMBL210771	730
CHEMBL591689	Y28
CHEMBL1092764	AIZ
CHEMBL282157	4NZ
CHEMBL603623	3KE
CHEMBL3086884	NUE
CHEMBL440283	B81
CHEMBL122977	WVV
CHEMBL3970310	BAW
CHEMBL3341939	MGZ
CHEMBL1235136	PAN
CHEMBL131719	NU3
CHEMBL3769593	5XZ
CHEMBL206743	RSK
CHEMBL1206178	2H9
CHEMBL45345	PNH
CHEMBL275040	KAI
CHEMBL2312191	TJF
CHEMBL418068	RHN
CHEMBL465	TCI
CHEMBL3289658	2VZ
CHEMBL1416045	6QF
CHEMBL3288269	M76
CHEMBL2024561	8WR
CHEMBL101683	8ST
CHEMBL3629540	4LK
CHEMBL416146	5CH
CHEMBL1163065	A5A
CHEMBL1160945	DEZ
CHEMBL3601317	4TH
CHEMBL8040	ANG
CHEMBL1973996	36C
CHEMBL2177238	PK0
CHEMBL3109962	7CE
CHEMBL3125049	5H4
CHEMBL411532	0VS
CHEMBL1703515	AZ9
CHEMBL104815	FD4
CHEMBL1908365	N9S
CHEMBL1921971	F63
CHEMBL394895	691
CHEMBL73698	BRH
CHEMBL3717481	9FS
CHEMBL174	AIC
CHEMBL603367	R1P
CHEMBL203631	JNK
CHEMBL443684	1XJ
CHEMBL339385	B4P
CHEMBL58146	1LM
CHEMBL1214943	6A5
CHEMBL513553	17J
CHEMBL3342332	3CQ
CHEMBL3774693	VAO
CHEMBL387771	23I
CHEMBL1451914	ELQ
CHEMBL109005	ST2
CHEMBL308759	GF0
CHEMBL74090	RYY
CHEMBL149752	EPT
CHEMBL442951	MBG
CHEMBL372795	SRY
CHEMBL240807	43F
CHEMBL558143	82X
CHEMBL3622942	X5G
CHEMBL135	EST
CHEMBL52606	FOK
CHEMBL1206141	ARU
CHEMBL401365	D55
CHEMBL46730	PEY
CHEMBL284237	BMK
CHEMBL205232	5KG
CHEMBL501382	42S
CHEMBL501382	4OB
CHEMBL3103988	NSE
CHEMBL123368	N76
CHEMBL2057280	D3A
CHEMBL3828637	68U
CHEMBL1738944	Z85
CHEMBL460657	ELA
CHEMBL3605055	3RJ
CHEMBL410295	AM9
CHEMBL1232562	ERG
CHEMBL440955	F32
CHEMBL136985	3L2
CHEMBL2407821	TEY
CHEMBL138060	KA5
CHEMBL23330	CB1
CHEMBL1241093	7YU
CHEMBL452861	SNP
CHEMBL3234614	5G7
CHEMBL2401983	1M8
CHEMBL3236464	6DC
CHEMBL1447	3QB
CHEMBL3759678	5OT
CHEMBL558752	55J
CHEMBL3895370	6G7
CHEMBL1205452	NDD
CHEMBL1231469	BRY
CHEMBL412891	HSS
CHEMBL224233	CEJ
CHEMBL3403995	3ZN
CHEMBL65061	LTB
CHEMBL273822	MTS
CHEMBL221170	7IP
CHEMBL475537	229
CHEMBL193233	T1D
CHEMBL258202	304
CHEMBL2347184	Z8Z
CHEMBL119521	HEE
CHEMBL1738811	H97
CHEMBL428963	CQU
CHEMBL289556	FT8
CHEMBL373357	BDT
CHEMBL403195	SC6
CHEMBL253359	MR4
CHEMBL159	VLB
CHEMBL84844	DMJ
CHEMBL255476	NP6
CHEMBL392872	HKA
CHEMBL242529	CIY
CHEMBL3235350	FGH
CHEMBL203517	1C2
CHEMBL1079905	POY
CHEMBL12760	AGE
CHEMBL3319549	2TO
CHEMBL481	CP0
CHEMBL272114	7AC
CHEMBL265720	D25
CHEMBL2164969	2V4
CHEMBL1229262	S04
CHEMBL1615212	S38
CHEMBL187595	D2R
CHEMBL1232731	FGL
CHEMBL3799597	728
CHEMBL1898239	34M
CHEMBL204394	DIN
CHEMBL1928432	74W
CHEMBL1271705	M0A
CHEMBL183874	5VL
CHEMBL125386	FR9
CHEMBL255750	AEH
CHEMBL3613776	4KD
CHEMBL520875	ICX
CHEMBL506639	IGA
CHEMBL558551	6EL
CHEMBL3634786	5E5
CHEMBL2372446	0D3
CHEMBL3775636	5UB
CHEMBL516159	X97
CHEMBL2098221	6U5
CHEMBL1502137	7O4
CHEMBL3622392	639
CHEMBL3425948	KRX
CHEMBL2063880	B50
CHEMBL1229517	032
CHEMBL425386	B23
CHEMBL2059811	88N
CHEMBL3318310	LFS
CHEMBL3593407	L6G
CHEMBL1650615	TM4
CHEMBL2164463	EF1
CHEMBL1682	SOR
CHEMBL1236395	TRE
CHEMBL185595	CRZ
CHEMBL3953069	73X
CHEMBL2010998	E65
CHEMBL385178	608
CHEMBL78755	NR2
CHEMBL1432	DBH
CHEMBL1236974	ZNP
CHEMBL2414065	Y0R
CHEMBL3736597	XEB
CHEMBL2178578	79K
CHEMBL2312148	4KT
CHEMBL2047869	RI9
CHEMBL1812334	0DI
CHEMBL259905	DIG
CHEMBL489799	BZD
CHEMBL2171689	7TO
CHEMBL571716	RX3
CHEMBL2089064	0RS
CHEMBL3422472	3HV
CHEMBL3409982	BNJ
CHEMBL305686	3AD
CHEMBL2207601	GOB
CHEMBL1231859	CND
CHEMBL94219	BIV
CHEMBL298737	209
CHEMBL108436	KNA
CHEMBL1256031	MBY
CHEMBL2407608	I18
CHEMBL8432	LA3
CHEMBL2018852	0Y1
CHEMBL3581115	4KH
CHEMBL2426574	1QC
CHEMBL2105945	SI3
CHEMBL945	AMR
CHEMBL1771216	3O2
CHEMBL3753862	89S
CHEMBL1232082	D71
CHEMBL605525	VDZ
CHEMBL453029	04Q
CHEMBL462228	KSF
CHEMBL1235738	RSA
CHEMBL2311918	409
CHEMBL376359	T22
CHEMBL148046	7K9
CHEMBL3416205	LCD
CHEMBL457189	R15
CHEMBL3125908	O2N
CHEMBL1230282	4FY
CHEMBL1213151	2JZ
CHEMBL430488	HBY
CHEMBL3813873	P31
CHEMBL3309676	J21
CHEMBL1076347	9EG
CHEMBL428650	ENL
CHEMBL363302	DFW
CHEMBL190628	WZA
CHEMBL14192	1BN
CHEMBL289233	ML2
CHEMBL520667	AX8
CHEMBL2170967	6XE
CHEMBL578160	DX7
CHEMBL1275624	P5M
CHEMBL1469703	3SR
CHEMBL540929	OX2
CHEMBL1230658	989
CHEMBL406973	EDG
CHEMBL3414702	3WP
CHEMBL1232858	FTT
CHEMBL318457	064
CHEMBL1234086	LS2
CHEMBL1161222	FEP
CHEMBL415690	BCD
CHEMBL169046	HC3
CHEMBL3701238	TZ0
CHEMBL1230301	4MC
CHEMBL2147710	W94
CHEMBL1541	C04
CHEMBL3402620	3X5
CHEMBL1076902	929
